dan	etp	rr	tmin	tmax	tpov	tmin5
1	6.6		19.9	36.0	28.2	16.5
2	6.0		20.5	33.5	27.7	16.0
3	5.4		21.7	33.7	27.1	17.8
4	5.4		19.5	32.8	26.2	15.0
5	3.8		18.6	31.6	20.9	17.8
6	2.8	30.4	17.7	26.6	19.3	14.9
7	5.6	7.9	16.6	31.5	23.8	14.5
8	6.6	0.0	17.5	31.5	25.3	14.8
9	5.5		17.2	31.4	24.1	13.1
10	5.5	6.1	18.6	29.8	23.2	15.2
11	5.3	6.9	17.1	30.7	23.5	16.2
12	3.2	36.8	16.3	24.0	20.4	15.5
13	3.8		18.0	22.8	19.2	16.9
14	4.6		15.5	28.7	23.8	12.4
15	2.7	2.0	15.4	24.3	17.1	14.8
16	4.2	1.7	15.1	23.9	19.2	13.5
17	5.1		12.7	26.6	21.1	9.3
18	5.8		15.9	29.1	23.1	11.7
19	6.2		15.8	32.5	24.6	12.0
20	5.5		17.6	30.0	24.8	13.8
21	2.0	0.4	15.3	24.7	16.4	15.5
22	2.3	13.8	14.6	19.6	17.3	13.9
23	4.1	1.3	13.8	23.3	20.1	12.5
24	4.5		16.2	27.9	20.7	13.0
25	2.4	5.6	17.0	24.2	20.4	15.7
26	4.2	0.1	17.6	28.7	23.2	14.9
27	5.5		18.3	32.3	26.0	14.9
28	5.9		18.8	33.9	26.5	14.8
29	5.7		19.4	33.0	24.7	14.6
30	4.8		18.4	28.4	23.5	14.3
31	5.1		19.6	29.2	23.8	17.5
