dan	etp	rr	tmin	tmax	tpov	tmin5
1	1.2	0.0	-4.8	-1.7	-3.2	-5.4
2	1.1	0.0	-6.5	-3.2	-5.8	-6.9
3	0.9	0.0	-8.8	-6.5	-7.6	-10.7
4	0.4	0.1	-9.2	-5.8	-8.3	-9.6
5	0.4	0.5	-10.5	-6.2	-9.0	-12.7
6	0.4	0.0	-10.0	-5.7	-8.8	-12.9
7	0.4	0.3	-9.9	-3.9	-6.1	-11.1
8	0.5	0.1	-10.1	-0.4	-5.7	-17.3
9	0.4		-12.2	-1.8	-6.7	-16.3
10	0.6		-9.2	-4.8	-7.1	-13.2
11	0.5	0.1	-8.6	-5.9	-7.9	-9.2
12	0.3	0.7	-9.2	-5.7	-7.5	-9.8
13	0.4	3.2	-8.9	-1.0	-5.0	-12.9
14	0.4		-10.7	1.0	-5.6	-17.9
15	0.7		-9.4	4.1	-1.1	-16.2
16	1.8	0.0	-2.6	8.6	3.8	-7.5
17	1.3		-4.9	9.1	2.5	-10.0
18	1.1		-4.0	11.0	3.7	-8.4
19	0.8		-1.5	8.0	4.2	-5.4
20	0.4	17.4	0.4	4.9	1.3	-0.5
21	0.9	0.8	-0.2	6.7	1.6	-3.7
22	0.9		-3.3	9.0	1.9	-6.4
23	0.9		-3.5	10.1	4.7	-6.4
24	1.6	0.0	-0.2	20.4	10.1	-3.3
25	1.4		1.4	18.2	9.8	-2.4
26	1.2		3.4	11.3	6.9	-1.7
27	1.5	0.0	0.7	9.0	3.8	-3.8
28	1.0		-2.3	10.5	5.3	-6.0
29	1.8		1.5	21.6	11.4	-2.1
