dan	etp	rr	tmin	tmax	tpov	tmin5
1	2.2	6.1	2.5	13.0	6.2	1.9
2	3.2	0.1	-0.7	16.8	9.3	-4.9
3	2.0		7.8	14.8	11.6	1.1
4	2.0	2.9	10.8	17.9	13.5	9.4
5	1.9	2.2	10.5	17.9	13.5	5.9
6	1.9	5.9	10.9	17.6	13.7	9.5
7	1.7	17.6	7.2	16.0	9.9	9.1
8	1.3	26.6	3.2	7.2	4.0	3.9
9	2.5	2.0	-2.2	10.5	5.2	-6.4
10	3.1		-0.6	15.8	8.6	-4.5
11	1.6		7.4	11.5	8.6	4.4
12	2.9	9.6	6.3	15.7	10.7	1.6
13	1.8	0.1	7.0	14.5	10.5	1.5
14	1.8	0.1	9.0	13.0	10.8	7.0
15	1.4	0.6	8.3	12.5	10.5	7.0
16	1.6	7.6	9.2	13.5	10.7	8.1
17	3.0	0.3	3.3	14.5	9.4	-1.5
18	2.2		6.3	13.4	10.0	1.9
19	2.8	0.6	7.3	16.2	10.5	6.2
20	2.1	1.2	8.0	14.6	9.0	5.2
21	2.7	13.3	6.9	16.3	11.2	2.0
22	1.8	1.4	6.1	15.5	8.7	5.0
23	1.7	17.1	5.2	13.0	9.3	3.1
24	1.8	2.1	5.5	14.0	9.8	1.5
25	4.0	10.2	5.1	18.7	13.0	0.6
26	4.8	0.1	9.3	20.1	14.8	3.1
27	5.0		11.1	28.3	19.1	6.5
28	4.6		10.2	28.6	20.7	4.5
29	5.2		12.0	27.6	20.4	7.0
30	4.0		12.6	27.0	20.0	8.2
