dan	etp	rr	tmin	tmax	tpov	tmin5
1	1.4		3.1	17.5	9.8	-2.4
2	1.5		2.0	19.0	10.2	-2.4
3	1.2		3.6	13.0	7.2	-2.0
4	1.2		1.8	12.0	6.6	-1.4
5	1.7		2.4	11.8	6.7	-1.5
6	2.0		0.3	11.0	5.2	-5.0
7	1.4		-1.7	8.2	2.8	-7.2
8	1.8		-2.9	13.3	6.0	-6.8
9	2.2		1.1	12.0	6.5	-3.5
10	2.1		-1.8	12.1	6.0	-6.7
11	1.8		-1.2	15.1	8.1	-6.1
12	2.0		6.4	13.8	8.9	2.4
13	1.7		2.6	15.0	9.5	-3.2
14	1.8		3.3	17.5	10.0	-2.7
15	1.6		3.2	14.0	7.7	1.3
16	2.7		0.3	21.6	11.4	-4.7
17	3.0		3.2	18.9	11.4	-3.4
18	1.7		9.4	15.0	11.8	2.8
19	1.4	0.1	8.3	16.2	9.9	4.7
20	2.0	21.8	7.7	16.5	11.1	4.3
21	2.1		5.0	18.6	11.9	0.8
22	2.5		4.9	20.5	13.2	0.6
23	3.4		5.0	21.7	13.8	0.3
24	2.6		5.5	21.5	13.8	0.1
25	2.5	0.5	9.0	19.5	13.5	3.8
26	2.6		5.0	20.1	12.1	0.2
27	2.7		3.4	20.0	12.0	-2.7
28	3.1		4.9	23.0	15.2	-0.4
29	2.5		6.2	21.5	15.1	0.6
30	2.7		7.8	21.5	14.0	1.6
31	3.4		5.5	19.9	12.7	0.7
