dan	etp	rr	tmin	tmax	tpov	tmin5
1	1.5	49.5	14.2	17.1	15.2	13.4
2	2.2	22.5	15.3	23.0	18.5	14.3
3	2.6	0.3	15.8	26.2	21.0	13.8
4	2.8	0.2	18.6	27.2	22.3	16.6
5	2.9		17.0	26.7	21.4	13.8
6	2.8	10.8	16.1	24.0	19.4	14.1
7	3.3	0.1	14.5	23.4	17.8	11.1
8	3.2		10.5	26.0	18.0	7.2
9	3.3		12.0	27.4	19.7	8.0
10	3.2		13.8	28.3	20.4	10.0
11	3.6		14.4	28.8	21.3	10.7
12	1.7		15.1	21.4	17.5	12.3
13	1.1	70.1	8.8	17.2	10.0	8.2
14	1.6	9.2	10.2	17.5	13.5	9.3
15	2.5		11.3	21.2	16.2	9.1
16	2.2	0.0	11.4	19.8	14.5	7.6
17	2.5		7.9	23.0	15.3	4.1
18	2.2		10.8	24.5	17.4	6.8
19	1.6		11.1	20.5	13.9	9.7
20	2.3	34.4	9.0	18.2	11.7	6.0
21	2.6		5.4	20.5	13.2	2.0
22	2.6		7.7	21.1	14.1	5.0
23	1.4		10.3	18.9	15.5	6.5
24	2.1		12.8	22.6	17.5	10.9
25	2.4	19.6	12.8	24.3	18.0	8.8
26	1.5	0.3	13.3	23.8	17.9	10.3
27	2.5	2.0	16.2	24.6	19.5	16.6
28	1.3	8.1	12.6	18.7	15.4	8.4
29	1.7		13.4	22.2	17.8	11.2
30	1.4	0.2	15.7	18.5	16.4	13.0
