dan	etp	rr	tmin	tmax	tpov	tmin5
1	4.1	0.1	11.8	26.9	18.5	7.1
2	3.5	5.8	12.0	25.2	18.5	9.6
3	5.0	4.2	10.0	25.0	17.7	6.7
4	4.3		11.5	23.7	17.0	7.7
5	5.0		11.5	21.8	16.4	5.5
6	2.1	0.8	10.9	18.3	14.1	6.7
7	2.3	19.7	11.8	16.4	12.8	11.3
8	4.5	8.0	8.0	23.5	16.7	4.8
9	4.9		10.5	25.6	19.1	5.7
10	4.6		11.7	26.5	19.7	7.1
11	4.8		12.5	28.5	21.2	7.4
12	5.9		14.0	31.2	20.5	9.8
13	1.8	41.3	4.9	18.0	8.3	4.9
14	4.4		8.5	15.5	12.0	6.4
15	4.0		7.3	19.5	14.1	5.6
16	1.5	2.9	7.2	14.5	7.8	4.5
17	4.2	9.0	5.2	17.6	12.6	1.1
18	4.1		5.0	18.8	13.1	0.4
19	4.4		5.8	22.6	16.2	1.6
20	4.8		8.9	24.5	17.7	4.7
21	1.8	4.7	12.9	17.3	13.7	12.0
22	1.7	17.4	10.3	15.0	13.1	8.1
23	3.6	4.2	12.7	24.6	17.0	11.1
24	4.0	3.7	13.3	26.6	18.4	9.6
25	4.9	1.7	11.2	23.5	16.8	7.6
26	4.2	0.0	9.8	20.4	15.2	6.1
27	4.6		9.1	23.4	17.8	5.6
28	3.9	0.3	12.7	23.0	17.4	9.6
29	4.2	0.5	12.5	24.2	18.2	9.1
30	5.0	0.0	12.0	26.6	19.5	8.6
31	3.1	0.1	15.0	24.8	19.0	11.6
