dan	etp	rr	tmin	tmax	tpov	tmin5
1	0.2		-1.1	5.4	1.4	-3.1
2	0.4		-1.5	8.3	5.3	-5.1
3	0.3	22.7	5.5	7.1	5.8	4.4
4	0.5	1.7	4.6	9.1	5.9	4.0
5	0.5	0.2	2.0	6.3	4.7	1.4
6	1.0	0.0	-1.3	10.2	4.7	-4.4
7	0.4		-1.3	6.1	2.7	-6.2
8	0.3		-2.7	9.3	2.7	-6.3
9	0.2		-2.0	10.4	3.7	-5.9
10	0.3		-1.7	10.2	3.0	-6.1
11	0.1	0.0	-2.7	7.6	1.5	-7.1
12	0.3		-3.5	8.0	3.0	-8.4
13	0.3		-1.2	7.4	2.2	-5.4
14	0.9		-4.5	7.7	2.2	-9.6
15	0.6		-5.6	7.0	-1.1	-10.4
16	0.2		-7.0	2.5	-3.2	-12.9
17	0.3		-7.3	6.0	-0.7	-11.4
18	0.2		-4.5	5.6	-0.7	-10.2
19	0.6		-4.0	5.2	3.0	-8.6
20	0.5		-0.4	6.3	2.3	3.0
21	0.3	1.4	-3.2	5.1	0.1	-7.2
22	0.6		-0.8	10.0	7.8	-5.5
23	0.5		1.2	10.3	5.9	-2.4
24	0.5	0.0	0.9	6.1	2.9	-2.3
25	0.3	2.3	-4.4	5.2	-0.3	-7.6
26	0.3		-5.5	3.0	-1.8	-10.6
27	0.3		-6.3	2.5	-2.2	-10.7
28	0.4		-6.0	1.6	-1.3	-11.0
29	0.8		-2.6	0.1	-1.7	-4.7
30	0.8	0.1	-3.6	1.1	-2.0	-5.5
31	0.7		-6.8	-2.9	-4.7	-10.4
