dan	etp	rr	tmin	tmax	tpov	tmin5
1	3.7	2.1	15.7	25.5	20.3	13.2
2	2.1	10.2	15.3	19.7	16.8	14.1
3	4.9		16.0	25.0	20.7	11.9
4	3.2		13.8	22.2	17.3	14.0
5	3.8	28.1	13.0	22.4	17.1	12.1
6	4.3	0.1	11.9	23.8	18.2	9.1
7	4.3		12.8	24.9	19.7	9.6
8	6.4		16.2	28.2	23.0	11.6
9	2.0	0.7	15.6	21.8	17.1	12.7
10	4.4	17.4	16.4	24.0	20.2	14.6
11	2.4	2.8	15.4	19.7	17.4	14.3
12	2.2	11.9	12.4	18.5	13.6	11.9
13	2.5	37.8	11.3	19.4	14.2	9.3
14	4.6	13.9	11.0	24.5	18.1	8.1
15	5.3		11.8	27.1	21.0	8.8
16	5.7		13.0	31.0	22.8	9.1
17	6.0		13.7	31.7	24.2	9.6
18	5.8		17.2	32.0	25.8	12.8
19	5.8		19.2	32.3	26.4	15.3
20	6.7		19.4	33.3	27.1	15.9
21	6.2		20.6	34.3	27.0	16.4
22	4.6	0.0	19.5	27.6	22.9	15.6
23	3.8		17.2	26.1	22.0	13.2
24	5.3		16.8	29.4	24.2	13.6
25	3.7		16.7	27.1	20.3	15.3
26	5.5	4.9	14.7	26.1	20.9	12.8
27	5.3		14.4	28.0	22.4	10.6
28	6.3		16.0	31.0	25.0	12.6
29	6.7		17.4	33.1	26.5	14.3
30	6.8		20.4	34.0	27.7	16.7
