dan	etp	rr	tmin	tmax	tpov	tmin5
1	5.3		16.6	30.5	25.1	12.4
2	5.5		17.0	33.0	26.3	13.0
3	6.0		18.3	34.0	26.0	13.8
4	5.6		19.5	33.0	26.6	15.9
5	6.1		18.6	35.7	27.9	14.1
6	5.9		19.8	34.9	27.5	15.3
7	4.7		21.0	29.6	24.8	17.0
8	5.3		18.9	29.6	23.7	13.6
9	4.5		17.5	28.5	21.2	12.6
10	4.4	0.0	13.8	27.7	21.5	9.8
11	5.1	0.0	15.0	26.7	17.8	11.0
12	4.1	0.1	12.3	24.6	19.2	9.0
13	4.2		12.5	28.0	22.0	8.2
14	4.8		16.4	29.9	23.4	13.0
15	5.1		16.0	32.4	24.7	11.0
16	4.2		18.7	32.1	22.1	15.0
17	4.6	20.4	17.0	29.3	22.7	14.6
18	4.7		16.7	30.6	24.2	15.8
19	4.8		16.9	32.0	24.5	13.1
20	5.1		16.6	34.2	24.7	12.2
21	4.3		16.2	36.0	25.7	11.6
22	5.6		17.6	37.1	28.5	14.2
23	4.0		20.9	31.0	24.5	17.0
24	5.7	2.3	18.4	35.7	27.3	14.5
25	5.3		18.0	35.0	26.2	12.8
26	1.6		12.4	25.4	15.5	14.5
27	3.4	42.0	10.3	25.1	17.3	7.7
28	4.0		11.5	28.8	20.2	7.8
29	4.2		15.0	28.6	21.4	12.3
30	3.8		14.6	29.6	22.5	10.5
31	1.5	1.5	16.9	22.6	17.4	16.0
