dan	etp	rr	tmin	tmax	tpov	tmin5
1	0.5	1.3	2.9	4.6	3.4	2.0
2	0.2	0.0	0.6	3.3	1.4	1.9
3	0.2	10.0	0.1	4.4	1.1	-2.4
4	0.2		-2.6	0.9	-0.2	-4.4
5	0.2	19.9	0.4	1.7	0.9	0.0
6	0.2	0.0	-0.6	0.8	-0.1	-1.4
7	0.3	0.3	-1.6	0.2	-1.1	-1.9
8	0.4	14.0	-2.9	-1.3	-2.5	-2.4
9	0.1	9.5	-8.8	1.1	-5.1	-18.9
10	0.1		-9.1	-2.8	-5.5	-16.2
11	0.1		-8.4	-0.6	-5.5	-15.1
12	0.1		-10.0	-4.1	-6.2	-16.9
13	0.1	0.0	-9.6	-3.3	-5.4	-9.6
14	0.2	0.1	-6.8	1.8	0.9	-6.4
15	0.2	7.1	1.3	4.2	3.1	0.4
16	0.2	14.1	2.4	5.1	3.3	0.1
17	0.2	0.1	1.4	3.5	2.8	1.2
18	0.3		2.0	4.6	3.3	1.5
19	0.1		-0.3	7.2	1.5	-1.7
20	0.2		-1.8	0.5	-1.2	-5.0
21	0.2		-1.6	1.8	0.6	-1.8
22	0.3	0.5	1.2	2.0	1.4	0.8
23	0.3		0.6	6.0	3.1	0.4
24	0.7		1.5	9.6	7.6	1.2
25	0.8	0.1	8.7	11.1	9.2	8.1
26	0.3	0.3	5.7	10.7	7.8	9.0
27	0.2	18.9	2.4	5.7	4.1	-2.0
28	0.3	1.3	1.8	10.3	4.9	-0.4
29	0.2		-1.6	3.9	-0.3	-5.7
30	0.2		-2.6	-0.5	-1.8	-5.9
31	0.2	0.0	-2.7	0.5	-1.3	-2.4
