dan	etp	rr	tmin	tmax	tpov	tmin5
1	2.1	3.3	14.7	23.5	17.6	13.7
2	1.2	0.1	15.0	17.5	15.7	12.6
3	1.8	0.4	13.8	21.7	16.4	12.6
4	1.8		12.5	20.6	16.2	8.9
5	1.8	0.0	12.2	20.5	15.9	8.2
6	2.2		10.9	22.3	16.4	7.3
7	1.7		13.0	20.7	15.1	9.9
8	1.6	8.6	8.8	15.9	11.3	5.4
9	1.6	0.0	8.9	18.4	13.7	7.5
10	1.0	4.9	10.4	14.2	11.1	9.8
11	1.1	1.5	9.7	12.5	10.9	9.3
12	0.9	0.0	10.0	13.0	11.8	9.2
13	0.8	0.3	10.6	12.5	11.3	11.0
14	1.2	4.5	7.4	16.4	12.2	6.8
15	1.3	8.7	11.5	18.4	14.4	8.7
16	1.7	52.9	10.3	16.6	13.0	7.6
17	1.9	3.7	7.7	19.0	14.0	4.8
18	2.0		10.0	19.8	14.2	7.0
19	2.1		6.3	22.7	14.3	2.1
20	1.6		5.3	21.7	12.0	1.3
21	1.3		7.7	20.2	12.5	2.7
22	0.9	0.0	8.1	17.7	11.8	5.0
23	1.0		8.2	17.1	10.8	4.6
24	0.7		7.0	10.8	9.2	3.5
25	1.1	0.0	7.8	14.0	9.0	7.7
26	0.7	0.0	4.7	12.3	9.7	1.6
27	0.7	50.4	9.7	13.6	12.2	9.2
28	0.5	61.4	0.4	12.7	1.1	0.0
29	0.5	22.0	0.6	4.3	2.1	0.6
30	0.5	0.0	0.1	5.7	2.1	-2.8
31	0.5	0.1	-1.0	7.2	4.4	-4.8
